Line #,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1
,,,,,,,,
,1µF,CAP CER 1UF 10V X7S 0402,"C1, C2, C5, C6",4,Murata,GRM155R61A105KE15D,Arrow,GRM155R61A105KE15D
,0.47µF,CAP CER 0.47UF 10V X7S 0402,"C3, C4, C7, C8",4,KEMET,C0402C474K9PACTU,Digi-Key,399-4899-1-ND
,VBPW34FASR,Diode,D1,1,Vishay,VBPW34FASR,RSComponents,7689401
,QRE1113GR,QRE1113 Series 30 V 50 mA Miniature Reflective Object Sensor - SMD-4,D2,1,ON Semiconductor / Fairchild,QRE1113GR,Newark,34C1691
,LP5523TM_NOPB,Integrated Circuit,"IC1, IC2",2,TI National Semiconductor,LP5523TM/NOPB,Arrow,LP5523TM/NOPB
,55560-0168,Connector,"J1, J2",2,Molex,55560-0168,Mouser,538-55560-0168
,APFA3010SEKJ3ZGKQBKC,LED,"LED1, LED2, LED3, LED4",4,Kingbright,APFA3010SEKJ3ZGKQBKC,Mouser,604-APFA3010SEKJ3ZGK
,SMLP36RGB2W3R,LED,"LED5, LED6",2,Rohm,SMLP36RGB2W3R,Mouser,755-SMLP36RGB2W3R
,100k,RES SMD 100K OHM 5% 1/10W 0402,R4,1,Panasonic,ERJ-2RKF1003X,Future Electronics,ERJ-2RKF1003X-CUTT
,100,,R5,1,Yageo,SR0402JR-7W100RL,Digi-Key,YAG6156DKR-ND
,51.1K,CRCW040251K1FKED,R6,1,Vishay,CRCW040251K1FKED,Future Electronics,CRCW040251K1FKED-CUTT
,ZTP-135SR,Undefined or Miscellaneous,U2,1,Amphenol,ZTP-135SR,Avnet,ZTP-135SR
